methods: {'agent_full_qwen14b': 1429, 'agent_full_qwen72b': 1431, 'hybrid_static': 1319, 'hybrid_rules': 1319, 'cons_aiwp': 1319, 'cons_bc': 1431}
                  stratum             method  lead    n  track_km  track_med_km  vmax_mae_kt  vmax_bias_kt  n_storms
   land=near-land(<300km)            cons_bc    72  252     276.4         138.7         17.2           5.3        60
                 ri=no-RI agent_full_qwen14b    24 1229      76.0          48.9         10.8           1.0       165
                 ri=no-RI agent_full_qwen72b    24 1229      77.9          52.4         11.2           1.2       165
                 ri=no-RI      hybrid_static    24 1229      74.8          45.7         10.3           3.8       165
                 ri=no-RI       hybrid_rules    24 1229      74.8          45.7         10.6           4.6       165
                 ri=no-RI          cons_aiwp    24 1229      74.8          45.7         23.1         -22.8       165
                 ri=no-RI            cons_bc    24 1229      79.2          52.8         10.3           3.8       165
                 ri=no-RI agent_full_qwen14b    48 1049     134.4          79.8         15.4           2.2       145
                 ri=no-RI agent_full_qwen72b    48 1049     137.3          83.1         15.1           1.5       145
                 ri=no-RI      hybrid_static    48 1049     131.5          71.1         15.0           3.8       145
                 ri=no-RI       hybrid_rules    48 1049     131.5          71.1         14.9           3.7       145
                 ri=no-RI          cons_aiwp    48 1049     131.5          71.1         23.9         -23.5       145
                 ri=no-RI            cons_bc    48 1049     140.8          87.0         15.0           3.8       145
                 ri=no-RI agent_full_qwen14b    72  856     220.1         121.2         17.7           2.9       121
                 ri=no-RI agent_full_qwen72b    72  856     224.9         130.4         16.6           0.9       121
                 ri=no-RI      hybrid_static    72  856     224.9         107.1         17.0           3.3       121
                 ri=no-RI       hybrid_rules    72  856     224.9         107.1         17.0           3.2       121
                 ri=no-RI          cons_aiwp    72  856     224.9         107.1         24.2         -23.6       121
                 ri=no-RI            cons_bc    72  856     232.5         134.9         17.0           3.3       121
              ri=RI-event agent_full_qwen14b    24   88      40.8          30.4         36.5         -36.5        45
              ri=RI-event agent_full_qwen72b    24   88      42.5          37.2         35.3         -35.3        45
              ri=RI-event      hybrid_static    24   88      35.2          33.6         36.0         -36.0        45
              ri=RI-event       hybrid_rules    24   88      35.2          33.6         31.2         -31.2        45
              ri=RI-event          cons_aiwp    24   88      35.2          33.6         68.3         -68.3        45
              ri=RI-event            cons_bc    24   88      41.4          31.4         36.0         -36.0        45
              ri=RI-event agent_full_qwen14b    48   87      88.5          68.0         32.4         -26.8        44
              ri=RI-event agent_full_qwen72b    48   87      93.1          75.9         31.7         -25.3        44
              ri=RI-event      hybrid_static    48   87      76.9          62.6         33.4         -29.9        44
              ri=RI-event       hybrid_rules    48   87      76.9          62.6         33.4         -29.9        44
